group,subject,action,ann_start,ann_end,imu_start,imu_end,imu_ok,csv_path
subject10,subject10,running,2021-11-19 14:13:43.206,2021-11-19 14:13:46.094,2021-11-19 14:13:43.209,2021-11-19 14:13:46.085,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/running/person10.subject10.running.csv
subject10,subject10,checking_time,2021-11-19 14:13:51.573,2021-11-19 14:13:55.405,2021-11-19 14:13:51.578,2021-11-19 14:13:55.400,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/checking_time/person10.subject10.checking_time.csv
subject10,subject10,waving_hand,2021-11-19 14:14:00.572,2021-11-19 14:14:03.309,2021-11-19 14:14:00.575,2021-11-19 14:14:03.301,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/waving_hand/person10.subject10.waving_hand.csv
subject10,subject10,using_phone,2021-11-19 14:14:10.493,2021-11-19 14:14:15.214,2021-11-19 14:14:10.497,2021-11-19 14:14:15.214,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/using_phone/person10.subject10.using_phone.csv
subject10,subject10,talking_on_phone,2021-11-19 14:14:21.758,2021-11-19 14:14:27.781,2021-11-19 14:14:21.762,2021-11-19 14:14:27.773,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/talking_on_phone/person10.subject10.talking_on_phone.csv
subject10,subject10,kicking,2021-11-19 14:14:33.461,2021-11-19 14:14:36.022,2021-11-19 14:14:33.465,2021-11-19 14:14:36.013,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/kicking/person10.subject10.kicking.csv
subject10,subject10,pointing,2021-11-19 14:14:43.624,2021-11-19 14:14:46.670,2021-11-19 14:14:43.626,2021-11-19 14:14:46.662,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/pointing/person10.subject10.pointing.csv
subject10,subject10,throwing,2021-11-19 14:14:51.966,2021-11-19 14:14:54.909,2021-11-19 14:14:51.966,2021-11-19 14:14:54.902,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/throwing/person10.subject10.throwing.csv
subject10,subject10,jumping,2021-11-19 14:15:01.093,2021-11-19 14:15:03.205,2021-11-19 14:15:01.102,2021-11-19 14:15:03.202,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/jumping/person10.subject10.jumping.csv
subject10,subject10,setting_down,2021-11-19 14:15:10.846,2021-11-19 14:15:16.349,2021-11-19 14:15:10.855,2021-11-19 14:15:16.348,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/setting_down/person10.subject10.setting_down.csv
subject10,subject10,talking,2021-11-19 14:15:24.423,2021-11-19 14:15:28.903,2021-11-19 14:15:24.429,2021-11-19 14:15:28.898,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/talking/person10.subject10.talking.csv
subject10,subject10,carrying_heavy,2021-11-19 14:15:52.950,2021-11-19 14:15:59.669,2021-11-19 14:15:52.952,2021-11-19 14:15:59.669,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/carrying_heavy/person10.subject10.carrying_heavy.csv
subject10,subject10,loitering,2021-11-19 14:16:17.838,2021-11-19 14:16:23.085,2021-11-19 14:16:17.842,2021-11-19 14:16:23.077,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/loitering/person10.subject10.loitering.csv
subject10,subject10,transferring_object,2021-11-19 14:16:52.621,2021-11-19 14:16:57.644,2021-11-19 14:16:52.625,2021-11-19 14:16:57.640,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/transferring_object/person10.subject10.transferring_object.csv
subject10,subject10,picking_up,2021-11-19 14:17:14.309,2021-11-19 14:17:18.710,2021-11-19 14:17:14.310,2021-11-19 14:17:18.709,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/picking_up/person10.subject10.picking_up.csv
subject10,subject10,fall,2021-11-19 14:17:24.485,2021-11-19 14:17:31.334,2021-11-19 14:17:24.492,2021-11-19 14:17:31.329,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person10/subject10/fall/person10.subject10.fall.csv
subject11_12,subject11,standing,2021-11-19 14:34:28.373,2021-11-19 14:34:34.343,2021-11-19 14:41:25.589,2021-11-19 14:41:28.933,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/standing/person11_12.subject11.standing.csv
subject11_12,subject11,crouching,2021-11-19 14:34:38.753,2021-11-19 14:34:51.108,2021-11-19 14:41:07.507,2021-11-19 14:41:12.124,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/crouching/person11_12.subject11.crouching.csv
subject11_12,subject11,walking,2021-11-19 14:35:06.175,2021-11-19 14:35:12.081,2021-11-19 14:40:50.499,2021-11-19 14:40:54.738,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/walking/person11_12.subject11.walking.csv
subject11_12,subject11,running,2021-11-19 14:35:21.358,2021-11-19 14:35:26.645,2021-11-19 14:40:36.387,2021-11-19 14:40:40.616,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/running/person11_12.subject11.running.csv
subject11_12,subject11,checking_time,2021-11-19 14:35:42.730,2021-11-19 14:35:48.728,2021-11-19 14:40:18.433,2021-11-19 14:40:21.140,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/checking_time/person11_12.subject11.checking_time.csv
subject11_12,subject11,waving_hand,2021-11-19 14:36:06.077,2021-11-19 14:36:10.767,2021-11-19 14:39:57.574,2021-11-19 14:40:06.302,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/waving_hand/person11_12.subject11.waving_hand.csv
subject11_12,subject11,using_phone,2021-11-19 14:36:34.802,2021-11-19 14:36:43.005,2021-11-19 14:39:44.119,2021-11-19 14:39:49.483,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/using_phone/person11_12.subject11.using_phone.csv
subject11_12,subject11,talking_on_phone,2021-11-19 14:36:57.327,2021-11-19 14:37:02.207,2021-11-19 14:38:57.107,2021-11-19 14:39:04.481,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/talking_on_phone/person11_12.subject11.talking_on_phone.csv
subject11_12,subject11,kicking,2021-11-19 14:37:15.063,2021-11-19 14:37:18.807,2021-11-19 14:38:38.119,2021-11-19 14:38:41.144,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/kicking/person11_12.subject11.kicking.csv
subject11_12,subject11,pointing,2021-11-19 14:37:28.558,2021-11-19 14:37:33.199,2021-11-19 14:38:27.779,2021-11-19 14:38:30.705,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/pointing/person11_12.subject11.pointing.csv
subject11_12,subject11,throwing,2021-11-19 14:37:40.975,2021-11-19 14:37:44.085,2021-11-19 14:38:13.259,2021-11-19 14:38:16.245,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/throwing/person11_12.subject11.throwing.csv
subject11_12,subject11,jumping,2021-11-19 14:37:53.756,2021-11-19 14:37:56.278,2021-11-19 14:37:59.765,2021-11-19 14:38:00.889,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/jumping/person11_12.subject11.jumping.csv
subject11_12,subject11,setting_down,2021-11-19 14:38:08.332,2021-11-19 14:38:13.734,2021-11-19 14:37:38.140,2021-11-19 14:37:40.588,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/setting_down/person11_12.subject11.setting_down.csv
subject11_12,subject11,talking,2021-11-19 14:38:20.730,2021-11-19 14:38:32.710,2021-11-19 14:37:22.496,2021-11-19 14:37:26.088,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/talking/person11_12.subject11.talking.csv
subject11_12,subject11,transferring_object,2021-11-19 14:39:32.542,2021-11-19 14:39:36.942,2021-11-19 14:35:57.708,2021-11-19 14:36:00.972,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/transferring_object/person11_12.subject11.transferring_object.csv
subject11_12,subject11,carrying_heavy,2021-11-19 14:40:29.805,2021-11-19 14:40:37.398,2021-11-19 14:36:57.388,2021-11-19 14:37:02.543,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/carrying_heavy/person11_12.subject11.carrying_heavy.csv
subject11_12,subject11,loitering,2021-11-19 14:41:03.799,2021-11-19 14:41:18.095,2021-11-19 14:36:21.771,2021-11-19 14:36:31.563,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/loitering/person11_12.subject11.loitering.csv
subject11_12,subject11,picking_up,2021-11-19 14:41:33.610,2021-11-19 14:41:35.646,2021-11-19 14:35:12.657,2021-11-19 14:35:14.418,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/picking_up/person11_12.subject11.picking_up.csv
subject11_12,subject11,fall,2021-11-19 14:41:49.605,2021-11-19 14:41:52.587,2021-11-19 14:34:30.921,2021-11-19 14:34:33.578,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject11/fall/person11_12.subject11.fall.csv
subject11_12,subject12,fall,2021-11-19 14:34:30.920,2021-11-19 14:34:33.586,2021-11-19 14:34:30.922,2021-11-19 14:34:33.577,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/fall/person11_12.subject12.fall.csv
subject11_12,subject12,picking_up,2021-11-19 14:35:12.651,2021-11-19 14:35:14.427,2021-11-19 14:35:12.653,2021-11-19 14:35:14.423,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/picking_up/person11_12.subject12.picking_up.csv
subject11_12,subject12,transferring_object,2021-11-19 14:35:57.702,2021-11-19 14:36:00.975,2021-11-19 14:35:57.703,2021-11-19 14:36:00.972,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/transferring_object/person11_12.subject12.transferring_object.csv
subject11_12,subject12,loitering,2021-11-19 14:36:21.768,2021-11-19 14:36:31.571,2021-11-19 14:36:21.777,2021-11-19 14:36:31.562,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/loitering/person11_12.subject12.loitering.csv
subject11_12,subject12,carrying_heavy,2021-11-19 14:36:57.382,2021-11-19 14:37:02.546,2021-11-19 14:36:57.385,2021-11-19 14:37:02.544,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/carrying_heavy/person11_12.subject12.carrying_heavy.csv
subject11_12,subject12,talking,2021-11-19 14:37:22.487,2021-11-19 14:37:26.093,2021-11-19 14:37:22.495,2021-11-19 14:37:26.085,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/talking/person11_12.subject12.talking.csv
subject11_12,subject12,setting_down,2021-11-19 14:37:38.137,2021-11-19 14:37:40.590,2021-11-19 14:37:38.142,2021-11-19 14:37:40.586,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/setting_down/person11_12.subject12.setting_down.csv
subject11_12,subject12,jumping,2021-11-19 14:37:59.756,2021-11-19 14:38:00.891,2021-11-19 14:37:59.762,2021-11-19 14:38:00.889,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/jumping/person11_12.subject12.jumping.csv
subject11_12,subject12,throwing,2021-11-19 14:38:13.257,2021-11-19 14:38:16.245,2021-11-19 14:38:13.258,2021-11-19 14:38:16.244,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/throwing/person11_12.subject12.throwing.csv
subject11_12,subject12,pointing,2021-11-19 14:38:27.770,2021-11-19 14:38:30.706,2021-11-19 14:38:27.778,2021-11-19 14:38:30.705,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/pointing/person11_12.subject12.pointing.csv
subject11_12,subject12,kicking,2021-11-19 14:38:38.114,2021-11-19 14:38:41.145,2021-11-19 14:38:38.116,2021-11-19 14:38:41.143,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/kicking/person11_12.subject12.kicking.csv
subject11_12,subject12,talking_on_phone,2021-11-19 14:38:57.098,2021-11-19 14:39:04.484,2021-11-19 14:38:57.102,2021-11-19 14:39:04.483,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/talking_on_phone/person11_12.subject12.talking_on_phone.csv
subject11_12,subject12,using_phone,2021-11-19 14:39:44.117,2021-11-19 14:39:49.491,2021-11-19 14:39:44.124,2021-11-19 14:39:49.484,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/using_phone/person11_12.subject12.using_phone.csv
subject11_12,subject12,waving_hand,2021-11-19 14:39:57.572,2021-11-19 14:40:06.308,2021-11-19 14:39:57.579,2021-11-19 14:40:06.308,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/waving_hand/person11_12.subject12.waving_hand.csv
subject11_12,subject12,checking_time,2021-11-19 14:40:18.429,2021-11-19 14:40:21.146,2021-11-19 14:40:18.436,2021-11-19 14:40:21.141,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/checking_time/person11_12.subject12.checking_time.csv
subject11_12,subject12,running,2021-11-19 14:40:36.385,2021-11-19 14:40:40.621,2021-11-19 14:40:36.386,2021-11-19 14:40:40.619,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/running/person11_12.subject12.running.csv
subject11_12,subject12,walking,2021-11-19 14:40:50.493,2021-11-19 14:40:54.740,2021-11-19 14:40:50.494,2021-11-19 14:40:54.738,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/walking/person11_12.subject12.walking.csv
subject11_12,subject12,crouching,2021-11-19 14:41:07.500,2021-11-19 14:41:12.124,2021-11-19 14:41:07.509,2021-11-19 14:41:12.115,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/crouching/person11_12.subject12.crouching.csv
subject11_12,subject12,standing,2021-11-19 14:41:25.588,2021-11-19 14:41:28.941,2021-11-19 14:41:25.591,2021-11-19 14:41:28.939,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person11_12/subject12/standing/person11_12.subject12.standing.csv
subject13_14,subject13,standing,2021-11-19 14:47:46.441,2021-11-19 14:47:54.847,2021-11-19 14:54:31.127,2021-11-19 14:54:40.731,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/standing/person13_14.subject13.standing.csv
subject13_14,subject13,crouching,2021-11-19 14:48:01.879,2021-11-19 14:48:13.001,2021-11-19 14:54:17.751,2021-11-19 14:54:21.433,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/crouching/person13_14.subject13.crouching.csv
subject13_14,subject13,walking,2021-11-19 14:48:22.529,2021-11-19 14:48:30.175,2021-11-19 14:54:05.470,2021-11-19 14:54:10.227,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/walking/person13_14.subject13.walking.csv
subject13_14,subject13,running,2021-11-19 14:48:36.958,2021-11-19 14:48:48.834,2021-11-19 14:53:46.342,2021-11-19 14:53:54.184,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/running/person13_14.subject13.running.csv
subject13_14,subject13,checking_time,2021-11-19 14:48:59.689,2021-11-19 14:49:05.643,2021-11-19 14:53:22.675,2021-11-19 14:53:29.472,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/checking_time/person13_14.subject13.checking_time.csv
subject13_14,subject13,waving_hand,2021-11-19 14:49:21.602,2021-11-19 14:49:25.907,2021-11-19 14:52:52.350,2021-11-19 14:52:57.267,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/waving_hand/person13_14.subject13.waving_hand.csv
subject13_14,subject13,using_phone,2021-11-19 14:49:39.424,2021-11-19 14:49:44.302,2021-11-19 14:52:18.692,2021-11-19 14:52:27.131,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/using_phone/person13_14.subject13.using_phone.csv
subject13_14,subject13,talking_on_phone,2021-11-19 14:49:54.021,2021-11-19 14:49:59.519,2021-11-19 14:51:55.244,2021-11-19 14:52:04.331,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/talking_on_phone/person13_14.subject13.talking_on_phone.csv
subject13_14,subject13,kicking,2021-11-19 14:50:08.972,2021-11-19 14:50:11.913,2021-11-19 14:51:42.207,2021-11-19 14:51:44.665,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/kicking/person13_14.subject13.kicking.csv
subject13_14,subject13,pointing,2021-11-19 14:50:42.023,2021-11-19 14:50:45.214,2021-11-19 14:51:31.200,2021-11-19 14:51:34.683,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/pointing/person13_14.subject13.pointing.csv
subject13_14,subject13,throwing,2021-11-19 14:50:56.436,2021-11-19 14:51:02.717,2021-11-19 14:51:20.043,2021-11-19 14:51:22.661,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/throwing/person13_14.subject13.throwing.csv
subject13_14,subject13,jumping,2021-11-19 14:51:12.822,2021-11-19 14:51:15.935,2021-11-19 14:51:03.105,2021-11-19 14:51:04.607,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/jumping/person13_14.subject13.jumping.csv
subject13_14,subject13,setting_down,2021-11-19 14:51:27.108,2021-11-19 14:51:31.468,2021-11-19 14:48:09.770,2021-11-19 14:48:12.666,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/setting_down/person13_14.subject13.setting_down.csv
subject13_14,subject13,talking,2021-11-19 14:51:38.110,2021-11-19 14:51:46.179,2021-11-19 14:50:36.174,2021-11-19 14:50:46.743,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/talking/person13_14.subject13.talking.csv
subject13_14,subject13,carrying_heavy,2021-11-19 14:52:06.903,2021-11-19 14:52:19.279,2021-11-19 14:50:07.213,2021-11-19 14:50:11.981,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/carrying_heavy/person13_14.subject13.carrying_heavy.csv
subject13_14,subject13,loitering,2021-11-19 14:52:43.973,2021-11-19 14:52:52.793,2021-11-19 14:49:32.252,2021-11-19 14:49:38.104,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/loitering/person13_14.subject13.loitering.csv
subject13_14,subject13,transferring_object,2021-11-19 14:53:17.739,2021-11-19 14:53:25.510,2021-11-19 14:49:10.377,2021-11-19 14:49:13.383,True,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/transferring_object/person13_14.subject13.transferring_object.csv
subject13_14,subject13,picking_up,2021-11-19 14:53:44.662,2021-11-19 14:53:50.796,2021-11-19 14:48:29.465,2021-11-19 14:48:32.470,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/picking_up/person13_14.subject13.picking_up.csv
subject13_14,subject13,fall,2021-11-19 14:54:00.915,2021-11-19 14:54:06.940,2021-11-19 14:47:51.787,2021-11-19 14:47:55.628,False,/data/lxhong/mmact_data/trimmed_sensor/sensor/test/acc2_clip/camera1/person13_14/subject13/fall/person13_14.subject13.fall.csv
